Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
MHR-10-4,MHR,3500,4600,1100,-5.5,Cooling,Inverted,2.544035479,3029.141501,9.543333333,3.192787552,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-10-5,MHR,3500,4600,1100,-5.5,Cooling,Inverted,1.625567201,3029.141501,10.16,2.04010155,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-5-1,MHR,3500,4600,1100,-5.5,Cooling,Inverted,5.63851107,3029.141501,9.703333333,7.076382426,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-5-2,MHR,3500,4600,1100,-5.5,Cooling,Inverted,1.967338683,3029.141501,8.98,2.469027853,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-5-3,MHR,3500,4600,1100,-5.5,Cooling,Inverted,3.948422585,3029.141501,15.01,4.955306081,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-5-4,MHR,3500,4600,1100,-5.5,Cooling,Inverted,3.34700062,3029.141501,9.543333333,4.200516071,13.05,7.6,-5.45,57.26,6.08,0.192581444
MHR-5-5,MHR,3500,4600,1100,-5.5,Cooling,Inverted,4.840839968,3029.141501,9.406666667,6.075297973,13.05,7.6,-5.45,57.26,6.08,0.192581444
ML-10-1,ML,3500,2400,-1100,5.6,Warming,Non-inverted,7.883923274,3029.141501,21.54666667,9.894395065,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-10-2,ML,3500,2400,-1100,5.6,Warming,Non-inverted,3.695545922,3029.141501,21.47666667,4.63794358,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-10-3,ML,3500,2400,-1100,5.6,Warming,Non-inverted,4.237333333,3029.141501,20.98,5.317891685,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-10-4,ML,3500,2400,-1100,5.6,Warming,Non-inverted,2.720898159,3029.141501,19.975,3.414751816,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-10-5,ML,3500,2400,-1100,5.6,Warming,Non-inverted,2.632600016,3029.141501,19.03,3.303936847,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-5-1,ML,3500,2400,-1100,5.6,Warming,Non-inverted,1.911652239,3029.141501,19.9575,2.399140862,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-5-2,ML,3500,2400,-1100,5.6,Warming,Non-inverted,2.499060949,3029.141501,21.87,3.136344109,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-5-3,ML,3500,2400,-1100,5.6,Warming,Non-inverted,3.815777792,3029.141501,22.925,4.788835665,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-5-4,ML,3500,2400,-1100,5.6,Warming,Non-inverted,2.940319104,3029.141501,20.99333333,3.690127088,13.05,17.39,4.34,57.26,6.08,0.192581444
ML-5-5,ML,3500,2400,-1100,5.6,Warming,Non-inverted,3.342329699,3029.141501,21.33,4.194654023,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-10-1,MLR,3500,2400,-1100,5.6,Warming,Inverted,2.365023256,3029.141501,18.93333333,2.968125591,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-10-2,MLR,3500,2400,-1100,5.6,Warming,Inverted,4.335875969,3029.141501,19.05666667,5.441563584,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-10-3,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.331757579,3029.141501,21.91,0.416358764,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-10-4,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.780852657,3029.141501,22.31,2.234986203,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-10-5,MLR,3500,2400,-1100,5.6,Warming,Inverted,2.745959522,3029.141501,21.66666667,3.446204054,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-5-1,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.175689521,3029.141501,21.17666667,1.47550099,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-5-2,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.078116545,3029.141501,20.05666667,1.353046022,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-5-3,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.564377152,3029.141501,21.09666667,1.963307484,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-5-4,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.957787118,3029.141501,19.6525,1.202031502,13.05,17.39,4.34,57.26,6.08,0.192581444
MLR-5-5,MLR,3500,2400,-1100,5.6,Warming,Inverted,3.065256385,3029.141501,19.685,3.846924506,13.05,17.39,4.34,57.26,6.08,0.192581444
MR-10-1,MR,3500,3500,0,0,Stabilized,Inverted,7.082515436,3029.141501,11.66666667,8.888620974,13.05,13.05,0,57.26,6.08,0.192581444
MR-10-2,MR,3500,3500,0,0,Stabilized,Inverted,3.332781903,3029.141501,12.15,4.182671453,13.05,13.05,0,57.26,6.08,0.192581444
MR-10-3,MR,3500,3500,0,0,Stabilized,Inverted,4.654799355,3029.141501,11.99333333,5.84181532,13.05,13.05,0,57.26,6.08,0.192581444
MR-10-4,MR,3500,3500,0,0,Stabilized,Inverted,2.504658171,3029.141501,11.73,3.143368673,13.05,13.05,0,57.26,6.08,0.192581444
MR-10-5,MR,3500,3500,0,0,Stabilized,Inverted,1.765495773,3029.141501,14.84,2.215713174,13.05,13.05,0,57.26,6.08,0.192581444
MR-5-1,MR,3500,3500,0,0,Stabilized,Inverted,2.617693472,3029.141501,11.15,3.285228999,13.05,13.05,0,57.26,6.08,0.192581444
MR-5-2,MR,3500,3500,0,0,Stabilized,Inverted,2.351717044,3029.141501,10.46333333,2.951426175,13.05,13.05,0,57.26,6.08,0.192581444
MR-5-3,MR,3500,3500,0,0,Stabilized,Inverted,3.056009144,3029.141501,10.62666667,3.835319135,13.05,13.05,0,57.26,6.08,0.192581444
MR-5-4,MR,3500,3500,0,0,Stabilized,Inverted,2.020689666,3029.141501,10.99,2.535983819,13.05,13.05,0,57.26,6.08,0.192581444
MR-5-5,MR,3500,3500,0,0,Stabilized,Inverted,1.030642645,3029.141501,11.76333333,1.293465848,13.05,13.05,0,57.26,6.08,0.192581444
H-10-1,H,4600,4600,0,0,Stabilized,Non-inverted,1.025758872,2946.495863,8.706666667,1.323444902,7.6,7.6,0,53.66,5.37,0.183415617
H-10-2,H,4600,4600,0,0,Stabilized,Non-inverted,2.206984518,2946.495863,9.423333333,2.847474673,7.6,7.6,0,53.66,5.37,0.183415617
