Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,E.Changed,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
ML-5-3,ML,3500,2400,-1100,5.6,Warming,Non-inverted,8.4541675,3029.141501,22.925,10.61005673,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-5-4,ML,3500,2400,-1100,5.6,Warming,Non-inverted,7.225714667,3029.141501,20.99333333,9.068337305,-1100,13,17.86,4.86,57.26,6.08,0.192581444
ML-5-5,ML,3500,2400,-1100,5.6,Warming,Non-inverted,5.410313333,3029.141501,21.33,6.789992201,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-10-1,MLR,3500,2400,-1100,5.6,Warming,Inverted,3.563436667,3029.141501,18.93333333,4.472145269,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-10-2,MLR,3500,2400,-1100,5.6,Warming,Inverted,4.11704,3029.141501,19.05666667,5.166922463,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-10-3,MLR,3500,2400,-1100,5.6,Warming,Inverted,0.430615,3029.141501,21.91,0.540425722,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-10-4,MLR,3500,2400,-1100,5.6,Warming,Inverted,5.160231667,3029.141501,22.31,6.476137446,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-10-5,MLR,3500,2400,-1100,5.6,Warming,Inverted,2.608392,3029.141501,21.66666667,3.273555568,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-5-1,MLR,3500,2400,-1100,5.6,Warming,Inverted,2.54928,3029.141501,21.17666667,3.199369473,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-5-2,MLR,3500,2400,-1100,5.6,Warming,Inverted,3.707636667,3029.141501,20.05666667,4.653117574,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-5-3,MLR,3500,2400,-1100,5.6,Warming,Inverted,1.741511667,3029.141501,21.09666667,2.185612904,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-5-4,MLR,3500,2400,-1100,5.6,Warming,Inverted,2.89917625,3029.141501,19.6525,3.638492434,-1100,13,17.86,4.86,57.26,6.08,0.192581444
MLR-5-5,MLR,3500,2400,-1100,5.6,Warming,Inverted,2.257665,3029.141501,19.685,2.833390009,-1100,13,17.86,4.86,57.26,6.08,0.192581444
M-10-1,M,3500,3500,0,0,Stabilized,Non-inverted,6.221103333,3029.141501,12.06333333,7.807540989,34_0,13,13,0,57.26,6.08,0.192581444
M-10-2,M,3500,3500,0,0,Stabilized,Non-inverted,6.250663333,3029.141501,12.00666667,7.844639057,34_0,13,13,0,57.26,6.08,0.192581444
M-10-3,M,3500,3500,0,0,Stabilized,Non-inverted,4.09433,3029.141501,13.2,5.138421207,34_0,13,13,0,57.26,6.08,0.192581444
M-10-4,M,3500,3500,0,0,Stabilized,Non-inverted,3.958836667,3029.141501,10.84333333,4.968375847,34_0,13,13,0,57.26,6.08,0.192581444
M-10-5,M,3500,3500,0,0,Stabilized,Non-inverted,5.35376,3029.141501,12.33,6.719017256,34_0,13,13,0,57.26,6.08,0.192581444
M-5-1,M,3500,3500,0,0,Stabilized,Non-inverted,3.160513333,3029.141501,11.91,3.966472839,34_0,13,13,0,57.26,6.08,0.192581444
M-5-2,M,3500,3500,0,0,Stabilized,Non-inverted,3.313606667,3029.141501,12.34,4.158606358,34_0,13,13,0,57.26,6.08,0.192581444
M-5-3,M,3500,3500,0,0,Stabilized,Non-inverted,3.752766667,3029.141501,11.42666667,4.709756132,34_0,13,13,0,57.26,6.08,0.192581444
M-5-4,M,3500,3500,0,0,Stabilized,Non-inverted,4.201406667,3029.141501,11.73666667,5.272803393,34_0,13,13,0,57.26,6.08,0.192581444
M-5-5,M,3500,3500,0,0,Stabilized,Non-inverted,4.060715,3029.141501,12.73,5.096234078,34_0,13,13,0,57.26,6.08,0.192581444
