Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,V4,SR,Temp.O,Temp.D,delta.T,E.Changed,Silt_clay,pH,TN
LH-5-2,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,2.466323333,2011.229686,0.686666667,1.495,4.661812049,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-5-3,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,3.010716667,2011.229686,0.483333333,1.614,5.690817195,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-5-4,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,2.1242724,2011.229686,1.12,1.629,4.015271857,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LH-5-5,LH,2400,4600,2200,-11.1,Cooling,Non-inverted,1.253982667,2011.229686,0.636666667,1.438,2.370261606,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-10-1,LHR,2400,4600,2200,-11.1,Cooling,Inverted,2.045425,2011.229686,1.625,1.7445,3.866235534,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-10-2,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.627008333,2011.229686,1.043333333,1.571,3.075349834,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-10-3,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.117233667,2011.229686,-1.493333333,0.988333333,2.111780438,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-10-4,LHR,2400,4600,2200,-11.1,Cooling,Inverted,1.675330333,2011.229686,1.166666667,1.225666667,3.166687445,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-10-5,LHR,2400,4600,2200,-11.1,Cooling,Inverted,0.423461667,2011.229686,-1.393333333,1.025,0.800421694,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
LHR-5-1,LHR,2400,4600,2200,-11.1,Cooling,Inverted,0.486986667,2011.229686,2,1.379666667,0.920495817,8.04,0.39,-7.65,2200,25.12,6.51,0.076642329
